place,name,sort,rating,reviews
더베이커스테이블,더베이커스테이블,베이커리,4.39/5,"['방문자리뷰 404, /restaurant/21547232/review/visitor', '블로그리뷰 1478, /restaurant/21547232/review/ugc']"
빌즈 광화문,빌즈 광화문,브런치,4.26/5,"['방문자리뷰 3,533, /restaurant/37565097/review/visitor', '블로그리뷰 1304, /restaurant/37565097/review/ugc']"
태극당,태극당,베이커리,4.33/5,"['방문자리뷰 2,574, /restaurant/11714659/review/visitor', '블로그리뷰 2124, /restaurant/11714659/review/ugc']"
하늘공원,하늘공원,"자연,생태공원",4.23/5,"['방문자리뷰 200, /place/13219083/review/visitor', '블로그리뷰 8907, /place/13219083/review/ugc']"
낙산공원,낙산공원,근린공원,4.25/5,"['방문자리뷰 230, /place/13299765/review/visitor', '블로그리뷰 3449, /place/13299765/review/ugc']"
선유도공원,선유도공원,근린공원,4.25/5,"['방문자리뷰 170, /place/12366522/review/visitor', '블로그리뷰 83, /place/12366522/review/ugc']"
북서울꿈의숲,북서울꿈의숲,"도시,테마공원",4.32/5,"['방문자리뷰 127, /place/13293207/review/visitor', '블로그리뷰 2783, /place/13293207/review/ugc']"
여의도공원,여의도공원,근린공원,4.36/5,"['방문자리뷰 7, /place/11622428/review/visitor', '블로그리뷰 1922, /place/11622428/review/ugc']"
서울숲,서울숲,근린공원,4.2/5,"['방문자리뷰 174, /place/11636039/review/visitor', '블로그리뷰 9834, /place/11636039/review/ugc']"
여의도 한강공원,여의도 한강공원,시민공원,4.34/5,"['방문자리뷰 163, /place/13416869/review/visitor', '블로그리뷰 7665, /place/13416869/review/ugc']"
보라매공원,보라매공원,근린공원,4.27/5,"['방문자리뷰 101, /place/11622412/review/visitor', '블로그리뷰 2208, /place/11622412/review/ugc']"
서서울호수공원,서서울호수공원,"도시,테마공원",4.37/5,"['방문자리뷰 72, /place/13542647/review/visitor', '블로그리뷰 1181, /place/13542647/review/ugc']"
일자산허브천문공원,일자산허브천문공원,테마공원,4.17/5,"['방문자리뷰 15, /place/13209410/review/visitor', '블로그리뷰 497, /place/13209410/review/ugc']"
남산케이블카,남산케이블카,케이블카,4.32/5,"['방문자리뷰 1,563, /place/11635171/review/visitor', '블로그리뷰 379, /place/11635171/review/ugc']"
여의도 이랜드크루즈,여의도 이랜드크루즈,"유람선,관광선",4.33/5,"['방문자리뷰 1,669, /place/11591016/review/visitor', '블로그리뷰 1360, /place/11591016/review/ugc']"
난지한강공원물놀이장,난지한강공원물놀이장,수영장,4.5/5,"['방문자리뷰 7, /place/13529706/review/visitor', '블로그리뷰 169, /place/13529706/review/ugc']"
잠실 이랜드크루즈,잠실 이랜드크루즈,"유람선,관광선",4.47/5,"['방문자리뷰 17, /place/1244951532/review/visitor', '블로그리뷰 63, /place/1244951532/review/ugc']"
남산오르미,남산오르미,케이블카,3.83/5,"['방문자리뷰 3, /place/1185602761/review/visitor', '블로그리뷰 14, /place/1185602761/review/ugc']"
라뜰리에 현대시티아울렛동대문점,라뜰리에 현대시티아울렛동대문점,복합문화공간,4.51/5,"['방문자리뷰 1,637, /place/1106514879/review/visitor', '블로그리뷰 726, /place/1106514879/review/ugc']"
아리수 카약,아리수 카약,"레저,테마",0,"['블로그리뷰 2, /place/1650110847/review/ugc']"
광나루한강공원수영장,광나루한강공원수영장,수영장,0,"['방문자리뷰 1, /place/11781740/review/visitor', '블로그리뷰 101, /place/11781740/review/ugc']"
레이저엑스,레이저엑스,서바이벌게임,4.5/5,"['방문자리뷰 30, /place/1556219900/review/visitor', '블로그리뷰 107, /place/1556219900/review/ugc']"
락스타클라이밍,락스타클라이밍,암벽등반,4.5/5,"['방문자리뷰 30, /place/33880353/review/visitor', '블로그리뷰 340, /place/33880353/review/ugc']"
서울신라호텔,서울신라호텔,호텔,4.53/5,"['방문자리뷰 1,962, /place/12159697/review/visitor', '블로그리뷰 5436, /place/12159697/review/ugc']"
그랜드 워커힐 서울,그랜드 워커힐 서울,호텔,4.54/5,"['방문자리뷰 539, /place/11583218/review/visitor', '블로그리뷰 3273, /place/11583218/review/ugc']"
웨스틴조선호텔,웨스틴조선호텔,호텔,4.46/5,"['방문자리뷰 1,123, /place/11583198/review/visitor', '블로그리뷰 2231, /place/11583198/review/ugc']"
그랜드 하얏트 서울,그랜드 하얏트 서울,호텔,4.45/5,"['방문자리뷰 825, /place/11555954/review/visitor', '블로그리뷰 4183, /place/11555954/review/ugc']"
밀레니엄 힐튼 서울,밀레니엄 힐튼 서울,호텔,4.5/5,"['방문자리뷰 206, /place/11657208/review/visitor', '블로그리뷰 1809, /place/11657208/review/ugc']"
롯데호텔 서울,롯데호텔 서울,호텔,4.42/5,"['방문자리뷰 462, /place/11583194/review/visitor', '블로그리뷰 1971, /place/11583194/review/ugc']"
난지캠핑장(2021년4월예정),난지캠핑장(2021년4월예정),"캠핑,야영장",4.29/5,"['방문자리뷰 1,066, /accommodation/11818239/review/visitor', '블로그리뷰 1151, /accommodation/11818239/review/ugc']"
JW 메리어트 호텔 서울,JW 메리어트 호텔 서울,호텔,4.6/5,"['방문자리뷰 376, /place/11583195/review/visitor', '블로그리뷰 1985, /place/11583195/review/ugc']"
코스트코코리아 양재점,코스트코코리아 양재점,"슈퍼,마트",4.39/5,"['방문자리뷰 10,426, /place/11583027/review/visitor', '블로그리뷰 2669, /place/11583027/review/ugc']"
코스트코코리아 상봉점,코스트코코리아 상봉점,"슈퍼,마트",4.41/5,"['방문자리뷰 14,805, /place/11583025/review/visitor', '블로그리뷰 2568, /place/11583025/review/ugc']"
